Code,Product,Cost,A,B,C,Price - A,Price - B,Price - C,Replacement Technology Type,Related To,KW YN,Replacement KWh,Replacement KWh - Actual,Supplier,Class of Product,Appearance,Description,Maintenance Cost,Replacement KVA,Replacement KVA - Actual,Installation Type,Time Per Each - Rewire,Time Per Each - Retro,Time Per Each - New,Materials - New,Fitting - Type,Lumen Output,Temperature,Temperature Name,Guarantee Term,Replacement Litres,Time Per Each - Water,Function,Setting Number,Size,Existing 1,Existing 2,Existing 3,Existing 4,Existing 5,Existing 6,Existing 7,Existing 8,Existing 9,Existing 10,Existing 11,Existing 12,Existing 13,Existing 14,Existing 15,Existing 16,Existing 17,Existing 18,Existing 19,Existing 20,
FLC8GU10W,8.5W GU10 WW,R 128.17,10.00%,20.00%,30.00%,R 215.10,,,Downlight,Hours Per Year,Yes,0.0085,0.0091375,Aurora,GU10  ,Downlight,Recessed,R 0.38,0.087179487,0.087179487,Retro / Rewire ,30,10,20,,GU10,450,3000,WW,36,,,,,,Halogen 50W GU10,Halogen 35W GU10,Halogen 20W GU10,GU10 - 9W - CFL,GU10 - 11W - CFL,GU10 - 7W - CFL,,,,,,,,,,,,,,,
FLC8GU10WD,8.5W GU10 WW Dimmable,R 150.19,10.00%,20.00%,30.00%,R 226.80,,,Downlight,Hours Per Year,Yes,0.0085,0.0091375,Aurora,GU10  ,Downlight,Recessed,R 0.45,0.087179487,0.087179487,Retro / Rewire ,30,10,20,,GU10,450,3000,WW,36,,,,,,Halogen 50W GU10,Halogen 35W GU10,Halogen 20W GU10,GU10 - 9W - CFL,GU10 - 11W - CFL,GU10 - 7W - CFL,,,,,,,,,,,,,,,
FLC10AR111W,10W LED AR111 WW,R 316.29,10.00%,20.00%,30.00%,R 498.56,,,Integrated,Hours Per Year,Yes,0.01,0.01075,Aurora,Halogen ,Halogen ,Surfaced,R 0.95,,,Retro / Rewire ,30,15,30,,AR111,420,3000,WW,60,,,,,,AR111 Halogen 50W ,AR111 Halogen 75W ,AR111 Halogen 105W ,,,,,,,,,,,,,,,,,,
FLC15AR111W,15W LED AR111 WW,R 442.80,10.00%,20.00%,30.00%,R 697.46,,,Integrated,Hours Per Year,Yes,0.01,0.01075,Aurora,Halogen ,Halogen ,Surfaced,R 1.33,,,Retro / Rewire ,30,15,30,,AR111,800,3000,WW,60,,,,,,AR111 Halogen 50W ,AR111 Halogen 75W ,AR111 Halogen 105W ,,,,,,,,,,,,,,,,,,
FLCC5B22WD,5W Candle WW B22 Dimmable,R 103.56,10.00%,20.00%,30.00%,R 202.50,,,Candle,Hours Per Year,Yes,0.005,0.005375,Aurora,Candle,Candle,Surfaced,R 0.31,0.051282051,0.051282051,Retro,30,10,30,,B22,300,3000,WW,36,,,,,,B22 - 60W - Incandescent Candle,B22 - 28W - Halogen Candle,B22 - 42W - Halogen Candle,B22 - 40W - Incandescent Candle,,,,,,,,,,,,,,,,,
FLCC5E14WD,5W Candle WW E14 Dimmable,R 90.84,10.00%,20.00%,30.00%,R 143.06,,,Candle,Hours Per Year,Yes,0.005,0.005375,Aurora,Candle,Candle,Surfaced,R 0.27,0.051282051,0.051282051,Retro,30,10,15,,E14,300,3000,WW,36,,,,,,E14 - 28W - Halogen Candle,E14 - 42W - Halogen Candle,E14 - 60W - Incandescent Candle,E14 - 40W - Incandescent Candle,,,,,,,,,,,,,,,,,
FLCC5E14W ,5W Candle WW E14  ,R 70.67,10.00%,20.00%,30.00%,R 118.76,,,Candle,Hours Per Year,Yes,0.005,0.005375,Aurora,Candle,Candle,Surfaced,R 0.21,,,Retro,30,10,15,,E14,300,3000,WW,36,,,,,,E14 - 28W - Halogen Candle,E14 - 42W - Halogen Candle,E14 - 60W - Incandescent Candle,E14 - 40W - Incandescent Candle,,,,,,,,,,,,,,,,,
FLAUCA37WE14D,5W Candle Tip WW E14 Dim ,R 95.51,10.00%,20.00%,30.00%,R 152.10,,,Candle,Hours Per Year,Yes,0.005,0.005375,Aurora,Candle ,Candle ,Surfaced,R 0.29,,,Retro,30,10,15,,E14,300,3000,WW,36,,,,,,E14 - 28W - Halogen Candle,E14 - 42W - Halogen Candle,E14 - 60W - Incandescent Candle,E14 - 40W - Incandescent Candle,,,,,,,,,,,,,,,,,
FLCC3E14WD,3W Candle WW Dimmable,R 75.50,10.00%,20.00%,30.00%,R 118.76,,,Candle,Hours Per Year,Yes,0.003,0.003225,Aurora,Candle,Candle,Surfaced,R 0.23,0.030769231,0.030769231,Retro,30,10,15,,E14,300,3000,WW,36,,,,,,E14 - 28W - Halogen Candle,E14 - 42W - Halogen Candle,E14 - 60W - Incandescent Candle,E14 - 40W - Incandescent Candle,,,,,,,,,,,,,,,,,
FLMX573/Y14Z,Eco Beam 600 14W (2FT) DL,R 33.67,10.00%,20.00%,30.00%,R 58.50,,,Fluorescent,Hours Per Year,Yes,0.014,0.01505,Philips,Fluorescent,Fluorescent,Surfaced,R 0.10,0.143589744,0.143589744,Retro,30,20,15,,T5,992,5700,DL,24,,,,,,T8 - 1 X 18W - 2 foot,T8 - 2 X 18W - 2 foot,T8 - 3 X 18W - 2 foot,,,,,,,,,,,,,,,,,,
