Code,Product,Cost,A,B,C,Price - A,Price - B,Price - C,Replacement Technology Type,Related To,KW YN,Replacement KWh,Replacement KWh - Actual,Supplier,Class of Product,Appearance,Description,Maintenance Cost,Replacement KVA,Replacement KVA - Actual,Installation Type,Time Per Each - Rewire,Time Per Each - Retro,Time Per Each - New,Materials - New,Fitting - Type,Lumen Output,Temperature,Temperature Name,Guarantee Term,Replacement Litres,Time Per Each - Water,Function,Setting Number,Size,Existing 1,Existing 2,Existing 3,Existing 4,Existing 5,Existing 6,Existing 7,Existing 8,Existing 9,Existing 10,Existing 11,Existing 12,Existing 13,Existing 14,Existing 15,Existing 16,Existing 17,Existing 18,Existing 19,Existing 20
FLSLS12C,12W Slim Square Downlight CW,R 159.73,10.00%,20.00%,30.00%,R 274.05,,,Integrated,Hours Per Year,Yes,0.012,0.0129,Opple,Downlight,Downlight,Recessed,R 0.48,,,Retro / Rewire ,0,40,40,,Downlight,360,4100,CW,36,,,,,,Halogen 20W GU10,Halogen 50W GU10,Halogen 35W GU10,Halogen 50W MR16,Halogen 35W MR16,PL 2 Pin - 1 X 7W,PL 2 Pin - 1 X 9W,PL 2 Pin - 1 X 11W,PL 2 Pin - 1 X 10W,E27 - 11W - CFL,E27 - 14W - CFL,E27 - 60W - Incandescent,E27 - 100W - Incandescent,E27 - 40W - Incandescent,,,,,,
FLSLS12W,12W Slim Square Downlight WW,R 152.21,10.00%,20.00%,30.00%,R 274.05,,,Integrated,Hours Per Year,Yes,0.012,0.0129,Opple,Downlight,Downlight,Recessed,R 0.46,,,Retro / Rewire ,0,40,40,,Downlight,360,3100,WW,36,,,,,,Halogen 20W GU10,Halogen 50W GU10,Halogen 35W GU10,Halogen 50W MR16,Halogen 35W MR16,PL 2 Pin - 1 X 7W,PL 2 Pin - 1 X 9W,PL 2 Pin - 1 X 11W,PL 2 Pin - 1 X 10W,B22 - 11W - CFL,B22 - 14W - CFL,B22 - 60W - Incandescent,B22 - 100W - Incandescent,B22 - 40W - Incandescent Candle,,,,,,
FLIQGU10CD,4.5W LED GU10 manual dim CW,R 60.92,10.00%,20.00%,30.00%,R 109.76,,,Downlight,Hours Per Year,Yes,0.004,0.0043,Azoteq,Downlight,Downlight,Recessed,R 0.18,,,Retro,15,40,40,,Downlight,300,4000,CW,24,,,,,,Halogen 20W GU10,Halogen 50W GU10,Halogen 35W GU10,Halogen 35W MR16,Halogen 20W MR16,Halogen 50W MR16,Halogen 75W MR16,MR16 - 1 X 50W - Recessed,MR16 - 1 X 75W - Recessed,MR16 - 1 X 20W - Recessed,MR16 - 1 X 35W - Recessed,MR16 - 1 X 42W - Recessed,MR16 - 2 X 75W - Recessed,MR16 - 2 X 20W - Recessed,MR16 - 2 X 35W - Recessed,MR16 - 2 X 42W - Recessed,MR16 - 2 X 50W - Recessed,,,
FLIQGU10WD,4.5W LED GU10 manual dim WW,R 62.40,10.00%,20.00%,30.00%,R 118.30,,,Downlight,Hours Per Year,Yes,0.004,0.0043,Azoteq,GU10,Downlight,Recessed,R 0.19,,,Retro,15,40,40,,GU10,300,3000,WW,24,,,,,,Halogen 20W GU10,Halogen 50W GU10,Halogen 35W GU10,Halogen 35W MR16,Halogen 20W MR16,Halogen 50W MR16,Halogen 75W MR16,MR16 - 1 X 50W - Recessed,MR16 - 1 X 75W - Recessed,MR16 - 1 X 20W - Recessed,MR16 - 1 X 35W - Recessed,MR16 - 1 X 42W - Recessed,MR16 - 2 X 75W - Recessed,MR16 - 2 X 20W - Recessed,MR16 - 2 X 35W - Recessed,MR16 - 2 X 42W - Recessed,MR16 - 2 X 50W - Recessed,,,
FLIQA19E27CD,9W LED GLS man dim CW E27,R 74.48,10.00%,20.00%,30.00%,R 134.96,,,GLS,Hours Per Year,Yes,0.009,0.009675,Azoteq,GU10,Downlight,Recessed,R 0.22,,,Retro,15,40,40,,GU10,620,4000,CW,24,,,,,,E27 - 11W - CFL,E27 - 14W - CFL,E27 - 60W - Incandescent,E27 - 100W - Incandescent,E27 - 40W - Incandescent,E27 - 32W - CFL,,,,,,,,,,,,,,
FLIQA19B22CD,9W LED GLS man dim CW B22,R 74.97,10.00%,20.00%,30.00%,R 134.96,,,GLS,Hours Per Year,Yes,0.009,0.009675,Azoteq,GU10,Downlight,Recessed,R 0.22,,,Retro,15,40,40,,GLS,620,4000,CW,24,,,,,,B22 - 11W - CFL,B22 - 14W - CFL,B22 - 60W - Incandescent,B22 - 100W - Incandescent,B22 - 40W - GLS,B22 - 32W - CFL,,,,,,,,,,,,,,
FLIQA19E27WD,9W LED GLS man dim WW E27,R 76.74,10.00%,20.00%,30.00%,R 134.96,,,GLS,Hours Per Year,Yes,0.009,0.009675,Azoteq,GU10,Downlight,Recessed,R 0.23,,,Retro,15,40,40,,GLS,620,3000,WW,24,,,,,,E27 - 11W - CFL,E27 - 14W - CFL,E27 - 60W - Incandescent,E27 - 100W - Incandescent,E27 - 40W - Incandescent,E27 - 32W - CFL,,,,,,,,,,,,,,
FLIQA19B22WD,9W LED GLS man dim WW B22,R 76.59,10.00%,20.00%,30.00%,R 153.00,,,GLS,Hours Per Year,Yes,0.009,0.009675,Azoteq,GU10,Downlight,Recessed,R 0.23,,,Retro,15,40,40,,GLS,620,3000,WW,24,,,,,,B22 - 11W - CFL,B22 - 14W - CFL,B22 - 60W - Incandescent,B22 - 100W - Incandescent,B22 - 40W - GLS,B22 - 32W - CFL,,,,,,,,,,,,,,
FLCCE14WD,3W LED Candle E14 Dim WW,R 131.95,10.00%,20.00%,30.00%,R 195.56,,,Candle,Number Per Day,Yes,0.003,0.003,Aurora,candle,candle,Surfaced,R 0.27,,,Retro,30,10,15,,E14,180,3000,WW,24,,,,,,E14 - 28W - Halogen Candle,E14 - 42W - Halogen Candle,E14 - 60W - Incandescent Candle,E14 - 40W - Incandescent Candle,E14 - 60W - Candle,E14 - 40W - Candle,E14 - 32W - CFL,,,,,,,,,,,,,
FLCC5E14W,5w LED Candle E14 WW,R 131.95,10.00%,20.00%,30.00%,R 195.56,,,Candle,Number Per Day,Yes,0.005,0.005,Aurora,candle,candle,Surfaced,R 0.27,,,Retro,30,10,15,,E14,300,3000,WW,24,,,,,,E14 - 28W - Halogen Candle,E14 - 42W - Halogen Candle,E14 - 60W - Incandescent Candle,E14 - 40W - Incandescent Candle,E14 - 60W - Candle,E14 - 40W - Candle,E14 - 32W - CFL,,,,,,,,,,,,,
FLAUGU10CD,6W GU10 CW Dimmable ,R 93.27,10.00%,20.00%,30.00%,R 136.76,,,Downlight,Hours Per Year,Yes,0.006,0.00645,Aurora,GU10  ,Downlight,Recessed,R 0.28,,,Retro,10,10,10,,GU10,330,4000,CW,36,,,,,,Halogen 50W MR16,,,,,,,,,,,,,,,,,,,
FLAUGU10WD,6W GU10 WW Dimmable ,R 95.02,10.00%,20.00%,30.00%,R 136.76,,,Downlight,Hours Per Year,Yes,0.006,0.00645,Aurora,GU10  ,Downlight,Recessed,R 0.29,,,Retro,10,10,10,,GU10,330,3000,WW,36,,,,,,Halogen 50W MR16,,,,,,,,,,,,,,,,,,,
FLED80W ,80W LED Floodlight,R 1 153.10,10.00%,20.00%,30.00%,R 1 872.00,,,Floodlight,Hours Per Year,Yes,0.08,0.086,Aurora,Floodlight,Floodlight,Surfaced,R 3.46,,,Retro,0,50,60,,Flood,4800,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - E40 250W,Flood MH - E40 400W,Flood HPS - E27 70W,Flood HPS - E40 150W,Flood HPS - E40 250W,Flood HPS - E40 400W,Flood MV - E27 125W,Flood MV - E40 250W,Flood MV - E40 400W,Flood MBL - 160W,Flood MBL - 250W,Flood MBL - 500W,Flood CFL - 1 X 85W,G12 - 150W - Spot,G12 - 70W - Spot,G12 - 35W - Spot,Flood MH - 250W,Flood MV - 400W
FLAUPAR38C,16W PAR38 Cool White E27,R 306.26,10.00%,20.00%,30.00%,R 450.00,,,Spotlight,Hours Per Year,Yes,0.016,0.0172,Aurora,Par 38,Spotlight,Surfaced,R 0.92,,,Retro,12,10,15,,E27,1100,4000,CW,36,,,,,,E27 - 150W - Incandescent,E27 - 150W - Incandescent,,,,,,,,,,,,,,,,,,
FLAUPAR38W,16W PAR38 Warm White E27,R 251.00,10.00%,20.00%,30.00%,R 450.00,,,Spotlight,Hours Per Year,Yes,0.016,0.0172,Aurora,Par 38,Spotlight,Surfaced,R 0.75,,,Retro,12,10,15,,E27,950,3000,WW,36,,,,,,E27 - 150W - Incandescent,E27 - 150W - Incandescent,,,,,,,,,,,,,,,,,,
