Code,Product,Cost,Price - A,Replacement Technology Type,Related To,KW YN,Replacement KWh,Replacement KWh - Actual,Supplier,Class of Product,Appearance,Description,Maintenance Cost,Replacement KVA,Replacement KVA - Actual,Installation Type,Time Per Each - Rewire,Time Per Each - Retro,Time Per Each - New,Materials - New,Fitting - Type,Lumen Output,Temperature,Temperature Name,Guarantee Term,Replacement Litres,Time Per Each - Water,Function,Setting Number,Size,Existing 1,Existing 2,Existing 3,Existing 4,Existing 5,Existing 6,Existing 7,Existing 8,Existing 9,Existing 10,Existing 11,Existing 12,Existing 13,Existing 14,Existing 15,Existing 16,Existing 17,Existing 18,Existing 19,Existing 20
FLA60RE27W,RES A60 LED 5W WW E27,R 21.02,R 27.32,GLS,Hours Per Year,,0.005,0.005,ELLIES,Residential,Residential,Recessed,,,,Retro,15,40,40,,E27,400,3000,WW,300,0,,,,,E27 - 11W - CFL,E27 - 14W - CFL,E27 - 15W - CFL,E27 - 60W - Incan,E27 - 75W - Incan,E27 - 100W - Incan,,,,,,,,,,,,,,
FLA60RB22C,RES A60 LED 5W CW B22,R 21.02,R 27.32,GLS,Hours Per Year,,0.005,0.005,ELLIES,Residential,Residential,Recessed,,,,Retro,15,40,40,,B22,400,4100,CW,300,0,,,,,B22 - 60W - Incan,B22 - 75W - Incan,B22 - 100W - Incan,B22 - 14W - CFL,B22 - 15W - CFL,B22 - 18W - CFL,B22 - 20W - CFL,,,,,,,,,,,,,
FLA60RE27C,RES A60 LED 5W CW E27,R 21.02,R 27.32,GLS,Hours Per Year,,0.005,0.005,ELLIES,Residential,Residential,Recessed,,,,Retro,15,40,40,,E27,400,4100,CW,300,0,,,,,E27 - 11W - CFL,E27 - 14W - CFL,E27 - 15W - CFL,E27 - 60W - Incan,E27 - 75W - Incan,E27 - 100W - Incan,,,,,,,,,,,,,,
FLA60B22W,LFL A60 LED 5W WW B22,R 49.31,R 64.10,GLS,Hours Per Year,,0.005,0.005,ELLIES,Lamp for Life,Lamp for Life,Recessed,,,,Retro,15,40,40,,B22,410,3200,WW,250,0,,,,,B22 - 60W - Incan,B22 - 75W - Incan,B22 - 100W - Incan,B22 - 14W - CFL,B22 - 15W - CFL,B22 - 18W - CFL,B22 - 20W - CFL,,,,,,,,,,,,,
FLA60E27W,LFL A60 LED 5W WW E27    ,R 49.31,R 64.10,GLS,Hours Per Year,,0.005,0.005,ELLIES,Lamp for Life,Lamp for Life,Recessed,,,,Retro,15,40,40,,E27,410,3200,WW,250,0,,,,,E27 - 11W - CFL,E27 - 14W - CFL,E27 - 15W - CFL,E27 - 60W - Incan,E27 - 75W - Incan,E27 - 100W - Incan,,,,,,,,,,,,,,
FAS60B22C,LFL A60 LED 5W CW B22,R 49.31,R 64.10,GLS,Hours Per Year,,0.005,0.005,ELLIES,Lamp for Life,Lamp for Life,Recessed,,,,Retro,15,40,40,,B22,450,4200,CW,250,0,,,,,B22 - 60W - Incan,B22 - 75W - Incan,B22 - 100W - Incan,B22 - 14W - CFL,B22 - 15W - CFL,B22 - 18W - CFL,B22 - 20W - CFL,,,,,,,,,,,,,
FLA60E27C,LFL A60 LED 5W CW E27   ,R 49.31,R 64.10,GLS,Hours Per Year,,0.005,0.005,ELLIES,Lamp for Life,Lamp for Life,Recessed,,,,Retro,15,40,40,,E27,450,4200,CW,250,0,,,,,E27 - 11W - CFL,E27 - 14W - CFL,E27 - 15W - CFL,E27 - 60W - Incan,E27 - 75W - Incan,E27 - 100W - Incan,,,,,,,,,,,,,,
FLG45B22W,LFL G45 LED 4W WW B22   ,R 57.95,R 75.33,Golf Ball,Hours Per Year,,0.004,0.004,ELLIES,Lamp for Life,Golf Ball,Recessed,,,,Retro,15,40,40,,B22,300,3200,WW,250,0,,,,,B22 - 11W - CFL,B22 - 14W - CFL,B22 - 15W - CFL,B22 - 32W - CFL,B22 - 60W - Incan,B22 - 75W - Incan,B22 - 28W - Hal GLS,B22 - 60W - Candle,B22 - 40W - Candle,,,,,,,,,,,
FLG45E27W,LFL G45 LED 4W WW E27   ,R 57.95,R 75.33,Golf Ball,Hours Per Year,,0.004,0.004,ELLIES,Lamp for Life,Golf Ball,Recessed,,,,Retro,15,40,40,,E27,300,3200,WW,250,0,,,,,E27 - 11W - CFL,E27 - 14W - CFL,E27 - 15W - CFL,E27 - 60W - Incan,E27 - 75W - Incan,E27 - 40W - Incan,E27 - 28W - Hal GLS,E27 - 60W - Candle,E27 - 40W - Candle,,,,,,,,,,,
FLG45B22C,LFL G45 LED 4W CW B22   ,R 57.95,R 75.33,Golf Ball,Hours Per Year,,0.004,0.004,ELLIES,Lamp for Life,Golf Ball,Recessed,,,,Retro,15,40,40,,B22,320,4100,CW,250,0,,,,,B22 - 11W - CFL,B22 - 14W - CFL,B22 - 15W - CFL,B22 - 32W - CFL,B22 - 60W - Incan,B22 - 75W - Incan,B22 - 28W - Hal GLS,B22 - 60W - Candle,B22 - 40W - Candle,,,,,,,,,,,
FLG45E27C,LFL G45 LED 4W CW E27,R 57.95,R 75.33,Golf Ball,Hours Per Year,,0.004,0.004,ELLIES,Lamp for Life,Golf Ball,Recessed,,,,Retro,15,40,40,,E27,320,4100,CW,250,0,,,,,E27 - 11W - CFL,E27 - 14W - CFL,E27 - 15W - CFL,E27 - 60W - Incan,E27 - 75W - Incan,E27 - 40W - Incan,E27 - 28W - Hal GLS,E27 - 60W - Candle,E27 - 40W - Candle,,,,,,,,,,,
FLGU10W,LFL LED 3.5W GU10 ,R 49.31,R 64.10,Downlight,Hours Per Year,,0.0035,0.0035,ELLIES,Downlight,Downlight,Recessed,,,,Retro,15,40,40,,GU10,227,3100,WW,250,0,,,,,GU10 - 20W,GU10 - 35W,GU10 - 42W,GU10 - 50W,,,,,,,,,,,,,,,,
FLGU10C,LFL LED  3.5W GU10 ,R 49.31,R 64.10,Downlight,Hours Per Year,,0.0035,0.0035,ELLIES,Downlight,Downlight,Recessed,,,,Retro,15,40,40,,GU10,245,4100,CW,250,0,,,,,GU10 - 20W,GU10 - 35W,GU10 - 42W,GU10 - 50W,,,,,,,,,,,,,,,,
FLCANE14W,LFL CANDLE LED 4W  E14 ,R 57.95,R 75.33,Candle ,Hours Per Year,,0.004,0.004,ELLIES,Candle ,Candle,Recessed,,,,Retro,15,40,40,,E14,300,3100,WW,250,0,,,,,E14 - 25W - Candle,E14 - 35W - Candle,E14 - 60W - Candle,,,,,,,,,,,,,,,,,
FLCANE14C,LFL CANDLE LED 4W  E14   ,R 57.95,R 75.33,Candle ,Hours Per Year,,0.004,0.004,ELLIES,Candle ,Candle,Recessed,,,,Retro,15,40,40,,E14,320,4100,CW,250,0,,,,,E14 - 25W - Candle,E14 - 35W - Candle,E14 - 60W - Candle,,,,,,,,,,,,,,,,,
FLALS10W,LED 10W ALS (DAY/NIGHT),R 189.55,R 246.41,Floodlight,Hours Per Year,,0.01,0.01,ELLIES,Floodlight,Floodlight,Recessed,,,,Retro,15,40,40,,Flood,780,6500,DL,250,0,,,,,Flood - HPS - 150W,Flood - MH - 150W,Flood - MV - 125W,Flood - Hal - 150W,Flood CFL - 1 X 45W,Flood CFL - 1 X 85W,,,,,,,,,,,,,,
FLALS20W,LED 20W ALS (DAY/NIGHT),R 285.10,R 370.63,Floodlight,Hours Per Year,,0.02,0.02,ELLIES,Floodlight,Floodlight,Recessed,,,,Retro,15,40,40,,Flood,1560,6500,DL,250,0,,,,,Flood - HPS - 150W,Flood - MH - 150W,Flood - MV - 125W,Flood - Hal - 150W,Flood CFL - 1 X 45W,Flood CFL - 1 X 85W,,,,,,,,,,,,,,
FLALS30W,LED 30W ALS (DAY/NIGHT),R 465.21,R 604.77,Floodlight,Hours Per Year,,0.03,0.03,ELLIES,Floodlight,Floodlight,Recessed,,,,Retro,15,40,40,,Flood,2340,6500,DL,250,0,,,,,Flood - HPS - 150W,Flood - MH - 150W,Flood - MV - 125W,Flood - Hal - 150W,Flood CFL - 1 X 45W,Flood CFL - 1 X 85W,,,,,,,,,,,,,,
